rakkaus rakkauden rakkautta rakkautena rakkauteen rakkauksien rakkauksia rakkauksina rakkauksissa rakkauksiin
auto auton autoa autona autoon autojen autoja autoina autoissa autoihin

outo oudon outoa outona outoon outojen outoja outoina oudoissa outoihin

satu satun satua satuna satuun satujen satuja satuina satuissa satuihin

satu sadun satua satuna satuun satujen satuja satuina saduissa satuihin

hyppy hypyn hyppyä hyppynä hyppyyn hyppyjen hyppyjä hyppyinä hypyissä hyppyihin

baari baarin baaria baarina baariin baarien baareja baareina baareissa baareihin

paatti paatin paattia paattina paattiin paattien paatteja paatteina paateissa paatteihin

ahven ahvenen ahventa ahvenena ahveneen ahventen ahvenia ahvenina ahvenissa ahveniin

sävel sävelen säveltä sävelenä säveleen sävelten säveliä sävelinä sävelissä säveliin

kalsium kalsiumin kalsiumia kalsiumina kalsiumiin kalsiumien kalsiumeja kalsiumeina kalsiumeissa kalsiumeihin

susi suden sutta sutena suteen susien susia susina susissa susiin

jälsi jällen jälttä jältenä jälteen jälsien jälsiä jälsinä jälsissä jälsiin

korsi korren kortta kortena korteen korsien korsia korsina korsissa korsiin

kuusi kuusen kuusta kuusena kuuseen kuusten/kuusien kuusia kuusina kuusissa kuusiin

saari saaren saarta saarena saareen saarten saaria saarina saarissa saariin

nuoli nuolen nuolta nuolena nuoleen nuolien nuolia nuolina nuolissa nuoliin

arpi arven arpea arpena arpeen arpien arpia arpina arvissa arpiin

jälki jäljen jälkeä jälkenä jälkeen jälkien jälkiä jälkinä jäljissä jälkiin

veitsi veitsen veistä veitsenä veitseen veisten/veitsien veitsiä veitsinä veitsissä veitsiin

meri meren merta merenä mereen merten meriä merinä merissä meriin

veri veren verta verenä vereen verten veriä verinä verissä veriin

pakkaus pakkauksen pakkausta pakkauksena pakkaukseen pakkauksien/pakkausten pakkauksia pakkauksina pakkauksissa pakkauksiin

julius juliuksen juliusta juliuksena juliukseen juliuksien/juliusten juliuksia juliuksina juliuksissa juliuksiin

hius hiuksen hiusta hiuksena hiukseen hiuksien/hiusten hiuksia hiuksina hiuksissa hiuksiin

paperi paperin paperia paperina paperiin papereiden papereita papereina papereissa papereihin

banaali banaalin banaalia banaalina banaaliin banaalien banaaleja banaaleina banaaleissa banaaleihin

nalle nallen nallea nallena nalleen nallien nalleja nalleina nalleissa nalleihin

matala matalan matalaa matalana matalaan matalien matalia matalina matalissa mataliin

asema aseman asemaa asemana asemaan asemien asemia asemina asemissa asemiin

kulkija kulkijan kulkijaa kulkijana kulkijaan kulkijoiden kulkijoita kulkijoina kulkijoissa kulkijoihin

karahka karahkan karahkaa karahkana karahkaan karahkojen karahkoja karahkoina karahkoissa karahkoihin

kantaja kantajan kantajaa kantajana kantajaan kantajien kantajia kantajina kantajissa kantajiin

peruna perunan perunaa perunana perunaan perunien perunia perunina perunissa peruniin

pasuuna pasuunan pasuunaa pasuunana pasuunaan pasuunojen pasuunoja pasuunoina pasuunoissa pasuunoihin

ainoa ainoan ainoata ainoana ainoaan ainoiden ainoita ainoina ainoissa ainoihin

herttua herttuan herttuaa herttuana herttuaan herttuoiden herttuoita herttuoina herttuoissa herttuoihin

vapaa vapaan vapaata vapaana vapaaseen vapaiden vapaita vapaina vapaissa vapaisiin

tuohi tuohen tuohta tuohena tuoheen tuohien tuohia tuohina tuohissa tuohiin

lohi lohen lohta lohena loheen lohien lohia lohina lohissa lohiin

lumi lumen lunta lumena lumeen lumien lumia lumina lumissa lumiin

tuomi tuomen tuomea tuomena tuomeen tuomien tuomia tuomina tuomissa tuomiin

niemi niemen niemeä niemenä niemeen niemien niemiä nieminä niemissä niemiin

pieni pienen pientä pienenä pieneen pienten pieniä pieninä pienissä pieniin

nuori nuoren nuorta nuorena nuoreen nuorten nuoria nuorina nuorissa nuoriin

suksi suksen suksea suksena sukseen suksien suksia suksina suksissa suksiin

uksi uksen uksea uksena ukseen uksien uksia uksina uksissa uksiin

sankari sankarin sankaria sankarina sankariin sankareiden sankareita sankareina sankareissa sankareihin

jumala jumalan jumalaa jumalana jumalaan jumalien jumalia jumalina jumalissa jumaliin

kirves kirveen kirvestä kirveenä kirveeseen kirvesten/kirveiden kirveitä kirveinä kirveissä kirveisiin/kirveihin

kives kiveksen kivestä kiveksenä kivekseen kivesten/kiveksien kiveksiä kiveksinä kiveksissä kiveksiin

mies miehen miestä miehenä mieheen miesten miehiä miehinä miehissä miehiin

kevät kevään kevättä keväänä kevääseen keväiden keväitä keväinä keväissä keväihin/keväisiin

sydän sydämen sydäntä sydämenä sydämeen sydanten/sydämien sydämiä sydäminä sydämissä sydämiin

